name,location,rate_per_sqft,area_in_sqft,area_type,property_title,property_type,bhk_type,price_in_cr
anantara alora,science park,8312,1985,super,anantara alora,flat,3,1.65
sun urban park,ambli,,932,super,sun urban park,flat,3,
eminence 96,thaltej,,7200,super,eminence 96,flat,5,
ambrosia by adani realty,adani shantigram,,2066,carpet,ambrosia by adani realty,flat,4,
sun parkwest,shela,,838,super,sun parkwest,flat,3,
vibgyor sculpture,ognaj,7847,1593,carpet,vibgyor sculpture,flat,4,1.25
riviera majestica,shela,4236,6326,carpet,riviera majestica,flat,5,2.68
om the amber,tragad,8584,699,super,om the amber,flat,2,0.6
deep indraprasth shivanta,ambli,5142,3170,super,deep indraprasth shivanta,flat,4,1.63
the origin,lambha,3779,979,super,the origin,flat,3,0.37
nirman sahvas,adalaj,3964,1154,carpet,nirman sahvas,flat,3,0.4575
safal riviera aspire,shela,,2641,super,safal riviera aspire,flat,5,
madhav oeuvre 3,ambli,,2831,carpet,madhav oeuvre 3,flat,5,
saga enstin evoq,science city,3991,4059,super,saga enstin evoq,flat,4,1.62
the bellagio,ambli,12294,7288,carpet,the bellagio,flat,5,8.96
ashokvatika society,ashokvatika society,7843,1377,super,ashokvatika society,flat,2,1.08
happy uptown,shela,,717,super,happy uptown,flat,2,
sun skyview,shela,7940,931,carpet,sun skyview,flat,3,0.7392
royal crown,vaishnodevi circle,4333,1422,super,royal crown,flat,2,0.6162
sheetal dharohar,sg highway,,3250,super,sheetal dharohar,flat,4,
rameshwar city,naranpura,,1020,carpet,rameshwar city,flat,3,
omnium square,omnium square,9883,860,super,omnium square,flat,3,0.82
the storeys,adani shantigram,13886,4393,carpet,the storeys,flat,5,6.1
gulmohar apartment,gulmohar apartment,11166,3000,super,gulmohar apartment,flat,3,3.35
aristo the regal,vaishnodevi circle,,1771,carpet,aristo the regal,flat,4,
harmony harikesh,science city,4736,3843,super,harmony harikesh,flat,4,1.82
veritas,veritas,6580,3906,super,veritas,flat,4,2.57
deep group indraprasth 8,deep group indraprasth 8,11323,3400,super,deep group indraprasth 8,flat,4,3.5
skyzenia,science park,4130,11090,super,skyzenia,flat,6,4.58
suhaal serenity,zundal,3611,1845,built-up,suhaal serenity,flat,3,0.6662
divyajyot sarang lakeview,divyajyot sarang lake,11440,2376,super,divyajyot sarang lakeview,flat,3,1.35
saanvi nirman stellar,south bopal,7302,986,carpet,saanvi nirman stellar,flat,3,0.72
shilp serene,shilaj,4700,1750,super,shilp serene,flat,3,0.8225
saiyamm apricus 2,shilaj,6605,3785,super,saiyamm apricus 2,flat,5,2.5
shikhar landmark,tragad,5573,933,carpet,shikhar landmark,flat,3,0.52
siddharth gardenia,tragad,7489,948,carpet,siddharth gardenia,flat,3,0.71
super shaligram,gota,,2496,carpet,super shaligram,flat,5,
samarpan signor skyline,zundal,8824,850,carpet,samarpan signor skyline,flat,3,0.75
arvind aqua city,dec,,,built-up,arvind aqua city,house,3,0.65
savvy swaraaj sports living,savvy swaraaj sports living,7225,1730,super,savvy swaraaj sports living,flat,3,1.25
serenity shivam,south bopal,,858,built-up,serenity shivam,flat,3,
madhav oeuvre 2,madhav oeuvre 2,20528,5615,super,madhav oeuvre 2,flat,4,6.98
the atlantis 2,zundal,,1044,super,the atlantis 2,flat,3,
motherland magnate legend,daskroi,9965,853,carpet,motherland magnate legend,flat,3,0.85
turquoise glamouere,wapa,8223,1177,carpet,turquoise glamouere,flat,3,0.9678
saanvi nirman stellar,saanvi nirman stellar,5588,1700,super,saanvi nirman stellar,flat,3,0.95
siddharth greenz,gota,6352,2015,carpet,siddharth greenz,flat,4,1.28
rhizome rivera east,rhizome rivera east,7238,746,super,rhizome rivera east,flat,3,0.54
times 104,bodakdev,16000,2475,carpet,times 104,flat,4,3.96
aarohi avinya,satellite,,2470,super,aarohi avinya,flat,3,
"c - 24, ami akhand anad - 1","c - 24, ami akhand anad - 1",10000,1200,plot,"c - 24, ami akhand anad - 1",house,4,1.1
shilp serenity,shilaj,4700,1750,super,shilp serenity,flat,3,0.8225
the atlantis 2,"inzundal, ahmedabad",,1044,super,the atlantis 2,flat,3,
archway,archway,11726,1066,carpet,archway,flat,3,1.25
the nest,nan,,3528,super,the nest,flat,4,
