name,location,rate_per_sqft,area_in_sqft,area_type,property_title,property_type,bhk_type,price_in_cr
radhey skyline,radhey skyline,5138,1265,super,radhey skyline,flat,3,0.65
aashray aurum,aashray aurum,4700,1750,super,aashray aurum,flat,3,0.8225
shafalya renown,shafalya renown,8556,1698,super,shafalya renown,flat,3,0.8
adani aster neo,adani aster neo,11341,634,carpet,adani aster neo,flat,2,0.72
adani aster neo,adani aster neo,12618,900,built-up,adani aster neo,flat,2,0.8
brahmdhara residency by sai projects,brahmdhara residency by sai projects,8750,400,super,brahmdhara residency by sai projects,flat,1,0.35
adani township meadows,adani township meadows,12295,1815,super,adani township meadows,flat,3,1.5
aashray arise,aashray arise,6533,1301,carpet,aashray arise,flat,3,0.85
keshar samruddham,keshar samruddham,9031,520,super,keshar samruddham,flat,2,0.47
adani la marina,adani la marina,11111,3600,super,adani la marina,flat,4,4
kautilya 99,kautilya 99,9806,591,super,kautilya 99,flat,2,0.58
padmavati residency,padmavati residency,6481,2250,super,padmavati residency,flat,3,0.875
water lily by adani realty,water lily by adani realty,11875,4000,super,water lily by adani realty,flat,5,4.75
adani shantigram,adani shantigram,6500,600,super,adani shantigram,flat,1,0.39
renown,renown,8525,868,built-up,renown,flat,3,0.74
pushkar residency,pushkar residency,5270,1575,super,pushkar residency,flat,3,0.83
avaneesh heights,avaneesh heights,4800,1500,super,avaneesh heights,flat,3,0.72
north enclave,north enclave,9968,642,super,north enclave,flat,2,0.64
neelkanth heights,neelkanth heights,3814,1206,super,neelkanth heights,flat,2,0.46
alok one 35,alok one 35,5257,1750,super,alok one 35,flat,3,0.75
shilp serene,shilp serene,5600,1750,super,shilp serene,flat,3,0.98
panchamrut green,panchamrut green,5271,1233,super,panchamrut green,flat,2,0.65
shree ashtavinayak residency,shree ashtavinayak residency,5166,1800,super,shree ashtavinayak residency,flat,3,0.62
hariom neelkanth residency,hariom neelkanth residency,4220,1860,built-up,hariom neelkanth residency,flat,3,0.785
ganesh pride,ganesh pride,11696,1530,super,ganesh pride,flat,3,0.8
adani elysium,adani elysium,7007,1427,super,adani elysium,flat,2,1
swastik riviera,swastik riviera,7222,900,super,swastik riviera,flat,3,0.65
brahmdhara residency,brahmdhara residency,3181,880,carpet,brahmdhara residency,flat,1,0.28
radhe skyline,radhe skyline,3939,1650,built-up,radhe skyline,flat,3,0.65
shantikrupa the otherside,shantikrupa the otherside,6622,5814,plot,shantikrupa the otherside,land,2,3.85
pacifica north enclave,pacifica north enclave,6018,1144,super,pacifica north enclave,flat,2,0.61
udani orchid villa,udani orchid villa,5714,1575,built-up,udani orchid villa,house,3,0.9
green view,green,14733,2104,carpet,green view,flat,4,3.1
nandanvan society,nandanvan society,5464,1647,built-up,nandanvan society,flat,3,0.9
samvaad sonnet,samvaad sonnet,6250,1440,super,samvaad sonnet,flat,3,0.9
shilp serene,shilp serene,4056,1750,built-up,shilp serene,flat,3,0.7099
ratnam opal,"invaishnodevi circle, ahmedabad",3778,1935,super,ratnam opal,flat,3,0.731
aashray aurum,aashray aurum,4600,1750,super,aashray aurum,flat,3,0.82
tulsi heights,tulsi heights,4512,1485,super,tulsi heights,flat,3,0.67
pacifica reflections,pacifica reflections,6036,1905,super,pacifica reflections,flat,3,1.15
sunsetu,sunsetu,5761,1215,super,sunsetu,flat,2,0.7
aaryan homes 2,aaryan homes 2,11169,761,plot,aaryan homes 2,flat,3,0.85
brahmdhara residency,brahmdhara residency,7032,383,carpet,brahmdhara residency,flat,1,0.27
dharmvandana neelkanth sky,dharmvandana neelkanth sky,5985,751,carpet,dharmvandana neelkanth sky,flat,2,0.45
the north park by adani realty,the north park by adani realty,14167,5400,super,the north park by adani realty,flat,4,7.65
navratna kalhaar bungalows,navratna kalhaar bungalows,11990,12510,built-up,navratna kalhaar bungalows,house,4,15
aariyaman residency,aariyaman residency,12698,6300,plot,aariyaman residency,flat,4,8
gala celestia,gala celestia,5272,1100,super,gala celestia,flat,2,0.58
atharva abode vaishnodevi,atharva abode vaishnodevi,7523,1050,carpet,atharva abode vaishnodevi,flat,3,0.79
aster by adani realty,aster by adani realty,6250,1200,built-up,aster by adani realty,flat,2,0.75
"vaishnodevi circle, ahmedabad, ahmedabad north","vaishnodevi circle, ahmedabad, ahmedabad north",5556,16200,built-up,"vaishnodevi circle, ahmedabad, ahmedabad north",house,4,9.51
gamara hills,gamara hills,7829,957,plot,gamara hills,flat,3,0.75
aashray aurum,aashray aurum,5428,1750,built-up,aashray aurum,flat,3,0.95
pararn nest,pararn nest,4624,1356,carpet,pararn nest,flat,2,0.6271
the meadows by adani realty,the meadows by adani realty,6111,1080,super,the meadows by adani realty,flat,2,0.66
aaravi 119,aaravi 119,8884,968,super,aaravi 119,flat,3,0.86
nirvana green,nirvana green,2461,9549,built-up,nirvana green,house,1,2.35
satya sankalp sky,satya sankalp sky,4065,1845,super,satya sankalp sky,flat,3,0.75
savya skyz,savya skyz,4306,1730,super,savya skyz,flat,3,0.745
aditya prime,aditya prime,4337,1683,super,aditya prime,flat,3,0.73
the meadows by adani realty,the meadows by adani realty,6756,1850,super,the meadows by adani realty,flat,3,1.25
aster by adani realty,aster by adani realty,10317,697,carpet,aster by adani realty,flat,2,0.72
aavkar abhilash,aavkar abhilash,5303,1980,super,aavkar abhilash,flat,3,1.05
bakeri shyaswa sarovar,bakeri shyaswa sarovar,14766,2708,super,bakeri shyaswa sarovar,flat,4,4
silver brook 2,silver brook 2,10695,920,carpet,silver brook 2,flat,3,0.984
108 yards,108 yards,10315,950,carpet,108 yards,flat,3,0.98
shaligram lakeview,shaligram lakeview,13888,1800,carpet,shaligram lakeview,flat,4,2.5
north enclave,north enclave,8717,803,carpet,north enclave,flat,3,0.7
shaligram lakeview,shaligram lakeview,8979,2450,built-up,shaligram lakeview,flat,4,2.2
bsa paarijat at shantigram,bsa paarijat at shantigram,13477,1714,plot,bsa paarijat at shantigram,flat,4,2.31
adani aster neo,adani aster neo,11008,690,carpet,adani aster neo,flat,2,0.76
swagat bagan ville,swagat bagan ville,16965,4185,carpet,swagat bagan ville,house,5,7.1
belrosa,belrosa,12180,5131,built-up,belrosa,flat,5,6.25
avirat silver brook 2,avirat silver brook 2,9712,875,built-up,avirat silver brook 2,flat,3,0.85
aashray aurum,aashray aurum,4857,1750,built-up,aashray aurum,flat,3,0.85
on requset,on requset,8232,990,carpet,on requset,flat,3,0.815
aristo anantam,aristo anantam,5595,2520,super,aristo anantam,flat,3,1.41
green view,green,12850,1284,carpet,green view,flat,3,1.65
shilp serene,shilp serene,5965,1760,super,shilp serene,flat,3,1.05
alteza eva,alteza eva,4600,1825,super,alteza eva,flat,3,0.8395
artiz arcelia,artiz arcelia,5482,1760,super,artiz arcelia,flat,3,0.965
sharanya altura,sharanya altura,5511,1760,carpet,sharanya altura,flat,3,0.97
sharanya altura,sharanya altura,5397,1760,super,sharanya altura,flat,3,0.95
aaravi 119,aaravi 119,4609,1410,super,aaravi 119,flat,2,0.65
addor ivory orchad,addor ivory orchad,5454,1760,super,addor ivory orchad,flat,3,0.96
aashray anantam,aashray anantam,4650,3700,super,aashray anantam,flat,4,1.72
saar saayam,saar saayam,4700,3700,super,saar saayam,flat,4,1.74
one zero eight yards,one zero eight yards,5005,1798,super,one zero eight yards,flat,3,0.9
serene elegancy,serene elegancy,5600,1750,super,serene elegancy,flat,3,0.98
"vertical vue , shilaj","vertical vue , shilaj",6375,4000,super,"vertical vue , shilaj",flat,4,2.55
param nest shilaj,param nest shilaj,4869,1376,super,param nest shilaj,flat,2,0.67
aashray arise,aashray arise,7378,1301,super,aashray arise,flat,3,0.96
motherland magnate lifestyle,motherland magnate lifestyle,5417,1440,super,motherland magnate lifestyle,flat,3,0.78
adani embrace,adani embrace,7162,2164,super,adani embrace,flat,3,1.55
amogha by adani realty,amogha by adani realty,6633,1500,plot,amogha by adani realty,flat,3,0.995
kaveri soham vistara,kaveri soham vistara,6322,1550,super,kaveri soham vistara,flat,3,0.98
sharanya altura,sharanya altura,6363,1760,super,sharanya altura,flat,3,1.12
water lily by adani realty,water lily by adani realty,10146,3548,super,water lily by adani realty,flat,4,3.6
saiyam apricus 2,saiyam apricus 2,12272,2200,carpet,saiyam apricus 2,flat,4,2.7
water lily by adani realty,water lily by adani realty,8461,3250,super,water lily by adani realty,flat,4,2.75
vaisnodevi,vaisnodevi,5902,1440,carpet,vaisnodevi,flat,3,0.85
ambrosia by adani realty,ambrosia by adani realty,7364,3707,super,ambrosia by adani realty,flat,4,2.73
the north park by adani realty,the north park by adani realty,15151,4950,super,the north park by adani realty,house,4,7.5
water lily by adani realty,water lily by adani realty,8132,4734,super,water lily by adani realty,house,4,3.85
sakar heights,sakar heights,3703,1890,super,sakar heights,flat,3,0.7
roland western sparsh,roland western sparsh,4983,1485,super,roland western sparsh,flat,3,0.74
safal glade one,safal glade one,3704,13500,built-up,safal glade one,house,4,5
ramya residency,ramya residency,15873,4410,built-up,ramya residency,house,4,7
the meadows by adani realty,the meadows by adani realty,6197,1775,super,the meadows by adani realty,flat,3,1.1
water lily by adani realty,water lily by adani realty,8246,3250,super,water lily by adani realty,flat,4,2.68
adani la marina,adani la marina,10461,3250,super,adani la marina,flat,4,3.4
ganesh housing malabar county 2,ganesh housing malabar county 2,5947,1530,super,ganesh housing malabar county 2,flat,3,0.91
the meadows by adani realty,the meadows by adani realty,7162,1815,super,the meadows by adani realty,flat,3,1.3
savya skyz,savya skyz,5466,1500,super,savya skyz,flat,3,0.82
golf view - belrosa,golf,7000,5500,super,golf view - belrosa,flat,4,3.85
adani elysium 2,adani elysium 2,9090,1045,super,adani elysium 2,flat,3,0.95
adani elysium 2,adani elysium 2,9345,1070,super,adani elysium 2,flat,3,1
skyline by shilp,skyline by shilp,6349,3071,super,skyline by shilp,flat,4,1.95
bakeri shyaswa sarovar,bakeri shyaswa sarovar,7007,6350,super,bakeri shyaswa sarovar,flat,5,4.45
hn shivalay sattva,hn shivalay sattva,9946,874,carpet,hn shivalay sattva,flat,3,0.87
a shridhar kaveri sangam,a shridhar kaveri sangam,5333,1500,super,a shridhar kaveri sangam,flat,3,0.8
a shridhar kaveri trisara,a shridhar kaveri trisara,5058,1285,super,a shridhar kaveri trisara,flat,2,0.65
suryansh solitaire,suryansh solitaire,6120,1062,super,suryansh solitaire,flat,2,0.65
savya skyz,savya skyz,8666,1500,super,savya skyz,flat,3,1.3
aashray arise,aashray arise,6704,1044,super,aashray arise,flat,2,0.7
shreeyam lotus,shreeyam lotus,5224,1761,super,shreeyam lotus,flat,3,0.92
shaligram lakeview,shaligram lakeview,5925,2025,super,shaligram lakeview,flat,3,1.2
ambrosia by adani realty,ambrosia by adani realty,6819,3710,super,ambrosia by adani realty,flat,4,2.53
zion nest,zion nest,4227,1845,super,zion nest,flat,3,0.78
gala haven,gala haven,6216,1850,super,gala haven,flat,3,1.15
goyal orchid finsbury,goyal orchid finsbury,4500,1769,super,goyal orchid finsbury,flat,3,0.7961
zion nest,zion nest,4065,1845,super,zion nest,flat,3,0.75
adani embrace,adani embrace,6128,1958,super,adani embrace,flat,3,1.2
shantikrupa the otherside,shantikrupa the otherside,5102,5292,built-up,shantikrupa the otherside,house,3,2.7
aashray aurum,aashray aurum,5170,1760,super,aashray aurum,flat,3,0.91
kaveri soham vistara,kaveri soham vistara,7161,1550,super,kaveri soham vistara,flat,3,1.11
kalhaar blues & greens golf club (kbg club),kalhaar blues & greens golf club (kbg club),8333,14031,plot,kalhaar blues & greens golf club (kbg club),flat,4,11.69
adani aster neo,adani aster neo,5761,1215,super,adani aster neo,flat,2,0.7
aster by adani realty,aster by adani realty,6008,1215,super,aster by adani realty,flat,2,0.73
adani aster neo,adani aster neo,5720,1215,super,adani aster neo,flat,2,0.695
water lily by adani realty,water lily by adani realty,8769,3250,super,water lily by adani realty,flat,4,2.85
water lily by adani realty,water lily by adani realty,8167,2510,super,water lily by adani realty,flat,3,2.05
adani la marina,adani la marina,9782,3220,super,adani la marina,flat,4,3.15
"shilaj, ahmedabad, ahmedabad west","shilaj, ahmedabad, ahmedabad west",12874,7767,built-up,"shilaj, ahmedabad, ahmedabad west",house,4,10
bakeri shyaswa sarovar,bakeri shyaswa sarovar,7250,6315,super,bakeri shyaswa sarovar,flat,4,4.58
aaryavart aranyam,aaryavart aranyam,6500,6925,super,aaryavart aranyam,flat,5,4.5
aaryavart aranyam,aaryavart aranyam,6500,6145,super,aaryavart aranyam,flat,4,3.99
ganesh legacy,ganesh legacy,4427,2349,super,ganesh legacy,flat,3,1.04
panache,panache,4718,3222,super,panache,flat,4,1.52
panache,panache,4989,2385,super,panache,flat,3,1.19
the nest,the nest,4906,3465,super,the nest,flat,4,1.7
atlantis elevate,atlantis elevate,4543,4050,super,atlantis elevate,flat,4,1.84
aaryavart aranyam,aaryavart aranyam,6500,4640,super,aaryavart aranyam,flat,4,3.02
shilp celestial,shilp celestial,4313,3153,super,shilp celestial,flat,4,1.36
shilp celestial,shilp celestial,4514,2525,super,shilp celestial,flat,3,1.14
the storeys,the storeys,13634,7575,super,the storeys,flat,4,5.68
the storeys,the storeys,13636,6560,super,the storeys,flat,4,4.92
shivalik greenview,shivalik greenview,5995,2335,super,shivalik greenview,flat,3,1.4
celestial living,celestial living,6193,1760,super,celestial living,flat,3,1.09
celestial living,celestial living,6250,1760,super,celestial living,flat,3,1.1
vaibhav platina,vaibhav platina,5161,1550,super,vaibhav platina,house,3,0.8
aristo anandam,aristo anandam,4957,1755,super,aristo anandam,flat,3,0.87
sg shiv ganesh,sg shiv ganesh,5630,2430,super,sg shiv ganesh,house,2,0.76
amaya 78 at gokuldham,amaya 78 at gokuldham,13888,2668,super,amaya 78 at gokuldham,flat,4,2.5
sentossa green land,sentossa green land,14815,5400,super,sentossa green land,house,6,8
kautilya 99,kautilya 99,5115,1134,super,kautilya 99,flat,2,0.58
the fourfront residency,the fourfront residency,6900,4745,plot,the fourfront residency,flat,4,3.27
bakeri shyaswa sarovar,bakeri shyaswa sarovar,7250,11665,super,bakeri shyaswa sarovar,flat,4,8.46
samatva amaryllis,samatva amaryllis,6200,3194,super,samatva amaryllis,flat,4,1.98
samatva amaryllis,samatva amaryllis,6200,3108,super,samatva amaryllis,flat,3,1.93
aaryavart aranyam,aaryavart aranyam,7000,7145,super,aaryavart aranyam,flat,5,5
aashray anantam,aashray anantam,5000,3700,super,aashray anantam,flat,4,1.85
bakeri shyaswa sarovar,bakeri shyaswa sarovar,7250,6350,super,bakeri shyaswa sarovar,flat,4,4.6
belrosa,belrosa,12509,12790,built-up,belrosa,house,6,16
belrosa,belrosa,11904,9450,built-up,belrosa,house,5,11.25
belrosa,belrosa,8823,6800,super,belrosa,flat,5,6
belrosa,belrosa,8899,5450,super,belrosa,flat,4,4.85
panache,panache,5767,6156,super,panache,house,5,3.55
kaveri soham vivanta,kaveri soham vivanta,5677,1550,super,kaveri soham vivanta,flat,3,0.88
ratnabhumi turquoise dreamz,ratnabhumi turquoise dreamz,10847,1750,super,ratnabhumi turquoise dreamz,flat,3,1.05
shantikrupa the otherside,shantikrupa the otherside,5221,5382,built-up,shantikrupa the otherside,house,2,2.81
dharti madhuvan 54,dharti madhuvan 54,8007,2635,super,dharti madhuvan 54,flat,3,2.11
the beaumonde,the beaumonde,8190,5250,built-up,the beaumonde,flat,4,4.3
alabhya,alabhya,6500,7000,super,alabhya,flat,4,4.55
sheladia manor,sheladia manor,5500,3218,super,sheladia manor,flat,4,1.77
binori aristella,binori aristella,6200,5400,super,binori aristella,flat,4,3.35
shilp serene,shilp serene,5485,1750,built-up,shilp serene,flat,3,0.96
amravilla,amravilla,17896,6426,super,amravilla,house,3,11.5
park view,park,7106,1548,super,park view,flat,3,1.1
saar saayam,saar saayam,6024,3320,super,saar saayam,flat,4,2
bsa paarijat at shantigram,bsa paarijat at shantigram,12259,1713,carpet,bsa paarijat at shantigram,flat,4,2.1
avirat silver brook 2,avirat silver brook 2,5397,1760,super,avirat silver brook 2,flat,3,0.95
shafalya renown,shafalya renown,4416,1698,super,shafalya renown,flat,3,0.75
water lily by adani realty,water lily by adani realty,11335,3220,super,water lily by adani realty,flat,4,3.65
radhey skyline,radhey skyline,3703,1215,super,radhey skyline,flat,2,0.45
malabar retreat a project by ganesh housing,malabar retreat a project by ganesh housing,11333,2400,carpet,malabar retreat a project by ganesh housing,flat,4,2.72
shivanta the taurus,shivanta the taurus,13333,1368,built-up,shivanta the taurus,flat,4,1.82
shivanta the taurus,shivanta the taurus,13333,1530,built-up,shivanta the taurus,flat,4,2.04
the fourfront residency,the fourfront residency,6900,4725,super,the fourfront residency,flat,4,3.26
the fourfront residency,the fourfront residency,6900,4625,super,the fourfront residency,flat,4,3.19
adani realty,adani realty,11394,4037,carpet,adani realty,house,5,4.6
adani realty,adani realty,11133,4940,carpet,adani realty,house,6,5.5
adani realty,adani realty,13235,2040,carpet,adani realty,flat,4,2.7
adani realty,adani realty,12874,2470,carpet,adani realty,flat,4,3.18
the north park by adani realty,the north park by adani realty,10110,9891,built-up,the north park by adani realty,house,5,10
the north park by adani realty,the north park by adani realty,16094,9171,built-up,the north park by adani realty,flat,5,14.76
the north park by adani realty,the north park by adani realty,110389,770,built-up,the north park by adani realty,house,5,8.5
the west park by adani realty,the west park by adani realty,12960,5787,built-up,the west park by adani realty,house,4,7.5
bakeri shyaswa sarovar,bakeri shyaswa sarovar,7250,6350,super,bakeri shyaswa sarovar,flat,4,4.6
shantigram north park,shantigram north park,18022,4500,super,shantigram north park,flat,4,8.11
serenity status,serenity status,12222,2016,built-up,serenity status,flat,4,2.46
serenity status,serenity status,10928,1360,built-up,serenity status,flat,3,1.49
serenity status,serenity status,10864,1231,built-up,serenity status,flat,3,1.34
serenity status,serenity status,12222,2293,built-up,serenity status,flat,4,2.8
water lily by adani realty,water lily by adani realty,10077,6450,built-up,water lily by adani realty,flat,5,6.5
divyajyot sarang lakeview,divyajyot sarang lakeview,11944,972,built-up,divyajyot sarang lakeview,flat,3,1.16
keshvan clifton,keshvan clifton,5224,2565,super,keshvan clifton,flat,3,1.34
keshvam clifton,keshvam clifton,4615,2340,super,keshvam clifton,flat,3,1.08
keshvam clifton,keshvam clifton,4921,3312,super,keshvam clifton,flat,4,1.63
divyajyot sarang lakeview,divyajyot sarang lakeview,5769,2340,super,divyajyot sarang lakeview,flat,3,1.35
celestial garden,celestial garden,5755,1755,super,celestial garden,flat,3,1.01
pacifica reflections,pacifica reflections,6000,1600,super,pacifica reflections,flat,3,0.96
sharanya altura,sharanya altura,10123,1760,super,sharanya altura,flat,3,0.98
alok one 35,alok one 35,8163,1750,super,alok one 35,flat,3,0.8
78 gokuldham,78 gokuldham,9935,1560,super,78 gokuldham,flat,4,1.55
bsa paarijat at shantigram,bsa paarijat at shantigram,8204,3230,super,bsa paarijat at shantigram,flat,4,2.65
penthouse,penthouse,3821,5130,super,penthouse,house,3,1.96
amaya 78 at gokuldham,amaya 78 at gokuldham,9745,2668,super,amaya 78 at gokuldham,house,4,2.6
maple greens residency,maple greens residency,7777,4050,super,maple greens residency,flat,4,3.15
amogha by adani realty,amogha by adani realty,15130,826,carpet,amogha by adani realty,flat,3,1.25
gala celestia,gala celestia,5114,1310,super,gala celestia,flat,2,0.67
green field,green field,6294,2653,super,green field,flat,3,1.67
water lily by adani realty,water lily by adani realty,8027,4734,super,water lily by adani realty,flat,5,3.8
paarijat by adani group and bsafal,paarijat by adani group and bsafal,7120,3230,super,paarijat by adani group and bsafal,flat,4,2.3
trogon t4,trogon t4,6107,4257,built-up,trogon t4,flat,4,2.6
green view,green,6808,2350,super,green view,flat,3,1.6
ambrosia adani group,ambrosia adani group,6469,3710,super,ambrosia adani group,flat,4,2.4
the north park by adani realty,the north park by adani realty,14537,12726,plot,the north park by adani realty,house,5,18.5
the north park by adani realty,the north park by adani realty,16713,8676,plot,the north park by adani realty,house,4,14.5
the taurus by shivanta,the taurus by shivanta,5203,3825,super,the taurus by shivanta,flat,4,1.99
on demand,on demand,5679,2025,super,on demand,flat,3,1.15
shashwat evana,shashwat evana,5082,3699,super,shashwat evana,flat,4,1.88
divya heights,divya heights,9049,2727,super,divya heights,flat,3,1.36
safal glade one,safal glade one,4000,9000,super,safal glade one,flat,2,3.6
the nest,the nest,4902,2448,super,the nest,flat,3,1.2
atlantis elevate,atlantis elevate,4751,2610,super,atlantis elevate,flat,3,1.24
navratna kalhaar bungalows,navratna kalhaar bungalows,13889,8028,super,navratna kalhaar bungalows,house,4,11.15
balaji green valley,balaji green valley,7017,17100,super,balaji green valley,flat,4,12
gala haven,gala haven,4807,1300,super,gala haven,flat,2,0.625
gala haven,gala haven,4918,1850,super,gala haven,flat,3,0.91
shantikrupa the otherside,shantikrupa the otherside,5295,5535,super,shantikrupa the otherside,house,2,3
avirat silver brook,avirat silver brook,5483,1550,super,avirat silver brook,flat,3,0.85
a shridhar kaveri sangam,a shridhar kaveri sangam,4800,1500,super,a shridhar kaveri sangam,flat,3,0.72
avirat silver brook,avirat silver brook,5256,1484,super,avirat silver brook,flat,3,0.78
atlantis elevate,atlantis elevate,5708,2610,super,atlantis elevate,flat,3,1.49
riviera greens,riviera greens,7021,22077,super,riviera greens,house,5,15.5
aashray atulyam,aashray atulyam,9803,663,carpet,aashray atulyam,flat,2,0.65
pacifica reflections,pacifica reflections,4905,1325,super,pacifica reflections,flat,2,0.65
keshvam clifton,keshvam clifton,4444,2340,built-up,keshvam clifton,flat,3,1.04
shaligram lakeview,shaligram lakeview,6216,1850,super,shaligram lakeview,flat,3,1.15
aashray aurum,aashray aurum,5314,1750,super,aashray aurum,flat,3,0.93
aashray aurum,aashray aurum,6000,1750,super,aashray aurum,flat,3,1.05
sharanya altura,sharanya altura,5852,1760,super,sharanya altura,flat,3,1.03
"status altezza , science park","status altezza , science park",5700,3000,super,"status altezza , science park",flat,4,1.71
"status altezza , science park","status altezza , science park",5700,2810,super,"status altezza , science park",flat,3,1.6
"kautilya two 20, shilaj","kautilya two 20, shilaj",5891,1935,super,"kautilya two 20, shilaj",flat,3,1.14
kaveri soham vivanta,kaveri soham vivanta,5806,1550,super,kaveri soham vivanta,flat,3,0.9
kaveri soham vivanta,kaveri soham vivanta,10227,1745,super,kaveri soham vivanta,flat,3,0.99
shilp serene,shilp serene,5657,1750,super,shilp serene,flat,3,0.99
shilp serene,shilp serene,5142,1750,super,shilp serene,flat,3,0.9
prakalp binori aarna,prakalp binori aarna,4480,1750,super,prakalp binori aarna,flat,3,0.85
siddhivinayak prospera,siddhivinayak prospera,4542,1761,super,siddhivinayak prospera,flat,3,0.8
"celestial garden living , shilaj","celestial garden living , shilaj",4700,1760,super,"celestial garden living , shilaj",flat,3,0.8272
amogha by adani realty,amogha by adani realty,7000,1500,super,amogha by adani realty,flat,3,1.05
satvam shilaj sky,satvam shilaj sky,5527,1755,super,satvam shilaj sky,flat,3,0.97
ambrosia by adani realty,ambrosia by adani realty,7412,3710,super,ambrosia by adani realty,flat,4,2.75
ambrosia by adani realty,ambrosia by adani realty,7512,3208,super,ambrosia by adani realty,flat,4,2.41
green view,green,7066,2335,super,green view,flat,3,1.65
bsa paarijat at shantigram,bsa paarijat at shantigram,7461,3230,super,bsa paarijat at shantigram,flat,3,2.41
aster by adani realty,aster by adani realty,5785,1210,super,aster by adani realty,flat,2,0.7
shaligram lakeview,shaligram lakeview,8087,3091,super,shaligram lakeview,flat,4,2.5
orchid finsbury,orchid finsbury,5898,1780,super,orchid finsbury,flat,3,1.05
tremont adleap,tremont adleap,5916,3600,super,tremont adleap,flat,4,2.13
tremont adleap,tremont adleap,5730,2565,super,tremont adleap,flat,3,1.47
green view,green,13084,1284,carpet,green view,flat,3,1.68
safal glade one,safal glade one,4407,22689,built-up,safal glade one,house,2,10
sankalp gwala,sankalp gwala,5428,1750,super,sankalp gwala,flat,3,0.95
sentossa greens,sentossa greens,11093,5679,super,sentossa greens,house,4,6.3
the meadows by adani realty,the meadows by adani realty,11773,1850,super,the meadows by adani realty,flat,3,1.4
ananta abode and ananta space,ananta abode and ananta space,8125,3200,super,ananta abode and ananta space,flat,4,2.6
dharti madhuvan 54,dharti madhuvan 54,8349,2635,super,dharti madhuvan 54,flat,3,2.2
shakti edifice,shakti edifice,6391,2034,super,shakti edifice,flat,3,1.3
aavas aalap bunglows,aavas aalap bunglows,208333,120,super,aavas aalap bunglows,house,4,2.5
bakeri shyaswa sarovar,bakeri shyaswa sarovar,14392,6315,super,bakeri shyaswa sarovar,flat,4,5
aashray aurum,aashray aurum,11184,912,carpet,aashray aurum,flat,3,1.02
the north park by adani realty,the north park by adani realty,100000,1000,super,the north park by adani realty,flat,4,10
saar saayam,saar saayam,4800,3655,super,saar saayam,flat,4,1.75
water lily by adani realty,water lily by adani realty,8769,3250,super,water lily by adani realty,flat,4,2.85
the meadows by adani realty,the meadows by adani realty,6388,1080,super,the meadows by adani realty,flat,2,0.69
water lily by adani realty,water lily by adani realty,7768,2510,super,water lily by adani realty,flat,3,1.95
the meadows by adani realty,the meadows by adani realty,6666,2280,super,the meadows by adani realty,flat,3,1.52
the meadows by adani realty,the meadows by adani realty,6074,1350,super,the meadows by adani realty,flat,3,0.82
pacifica reflections,pacifica reflections,5614,1425,super,pacifica reflections,flat,2,0.8
the meadows by adani realty,the meadows by adani realty,6481,1080,super,the meadows by adani realty,flat,2,0.7
amogha by adani realty,amogha by adani realty,6486,1480,super,amogha by adani realty,flat,3,0.96
adani aangan,adani aangan,6601,818,super,adani aangan,flat,2,0.54
aster by adani realty,aster by adani realty,6177,1214,super,aster by adani realty,flat,2,0.75
aristo anandam,aristo anandam,5174,1836,super,aristo anandam,flat,3,0.95
the beaumonde,the beaumonde,7200,5241,super,the beaumonde,flat,4,3.77
skyline by shilp,skyline by shilp,6024,3071,super,skyline by shilp,flat,4,1.85
greenfield by shivalik,greenfield by shivalik,5656,2652,super,greenfield by shivalik,flat,3,1.5
le parque,le parque,4491,11691,plot,le parque,house,4,5.25
le parque,le parque,3573,12735,plot,le parque,house,4,4.25
safal glade one,safal glade one,4435,12402,built-up,safal glade one,house,4,5.5
golf view,golf,6186,3071,super,golf view,flat,4,1.9
the iconic,the iconic,7500,5256,super,the iconic,flat,4,3.94
embrace,embrace,5367,2515,super,embrace,flat,3,1.35
roseville by goyal & co,roseville by goyal & co,1289,11250,built-up,roseville by goyal & co,house,2,1.65
embrace,embrace,5849,1966,carpet,embrace,flat,3,1.15
roseville by goyal & co,roseville by goyal & co,1333,11250,plot,roseville by goyal & co,land,2,1.5
north enclave,north enclave,9188,653,carpet,north enclave,flat,2,0.6
avirat silver brook 2,avirat silver brook 2,5596,1760,carpet,avirat silver brook 2,flat,3,0.985
samatva amaryllis,samatva amaryllis,6200,3351,super,samatva amaryllis,flat,4,2.08
shilp skyline,shilp skyline,6562,3200,super,shilp skyline,flat,4,2.1
shivalik greenfield,shivalik greenfield,5500,2653,super,shivalik greenfield,flat,3,1.46
aashray anantam,aashray anantam,4800,3700,super,aashray anantam,flat,4,1.78
trogon centre court,trogon centre court,6000,4257,built-up,trogon centre court,flat,4,2.55
trident experia,trident experia,3888,1800,super,trident experia,flat,3,0.7
satatya syril 2,satatya syril 2,5291,3213,super,satatya syril 2,flat,4,1.7
satatya syril 2,satatya syril 2,5108,2349,super,satatya syril 2,flat,3,1.2
ideal iris,ideal iris,4197,1215,super,ideal iris,flat,2,0.51
shree siddhi ganesh legacy,shree siddhi ganesh legacy,4444,3060,super,shree siddhi ganesh legacy,flat,4,1.36
shree siddhi ganesh legacy,shree siddhi ganesh legacy,4444,2349,super,shree siddhi ganesh legacy,flat,3,1.04
new launch aristo,new launch aristo,4674,3123,super,new launch aristo,flat,4,1.46
adani aster neo,adani aster neo,11442,690,carpet,adani aster neo,flat,2,0.79
